GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),Acceleration Sensor(Total)(g),Speed (OBD)(km/h),Engine Load(%),Engine Coolant Temperature(°F),Intake Air Temperature(°F),Engine RPM(rpm),Mass Air Flow Rate(g/s),0-100kph Time(s),Intake Manifold Pressure(kpa),0-200kph Time(s),Timing Advance(°),Engine Load(Absolute)(%),Barometer (on Android device)(mb),Trip Time(Since journey start)(s),GPS Satellites,GPS Bearing(°),GPS Altitude(m),Trip time(whilst moving)(s),Trip Distance(km),Trip time(whilst stationary)(s)
Tue Aug 21 18:21:18 MESZ 2012,21-Aug-2012 18:20:23.667,6.964185290391374,50.34529714494015,31.362371,6.0,628.8473342477612,238.70512,-0.06594969,1.0975418,-0.13332194,0.10414574,33,10.98039246,210.19999528,132.79999733,2213,16.45000076,0,0,0,29,0,947.32000732,208,17,238.7051239,628.84733425,185.41600037,2.0353756,22.69300079
Tue Aug 21 18:21:19 MESZ 2012,21-Aug-2012 18:20:24.668,6.964069618297821,50.34525503189496,30.981047,6.0,629.1981653328519,238.71735,-0.039569817,0.98091495,-0.17983383,-0.01881603,33,10.98039246,210.19999528,132.79999733,2213,7.28000021,0,0,0,31,0,947.39996338,209,17,238.71734619,629.19816533,186.57800293,2.04484868,22.69300079
Tue Aug 21 18:21:20 MESZ 2012,21-Aug-2012 18:20:25.668,6.963956929457889,50.345211804140874,31.227797,6.0,629.363457025428,237.96161,-0.02730549,1.0190963,-0.06714085,-0.02822823,32,7.05882359,210.19999528,132.79999733,2018,7.28000021,0,0,0,31,0,947.33996582,210,17,237.96160889,629.36345703,187.47599792,2.05420089,22.69300079
Tue Aug 21 18:21:21 MESZ 2012,21-Aug-2012 18:20:26.670,6.963853992999317,50.345171971052345,29.196228,6.0,629.4620434966431,237.50488,-0.09580061,0.99827003,-0.05487652,-0.17835397,32,7.05882359,210.19999528,132.79999733,1639,4.9000001,0,0,0,-5,0,947.17999268,211,17,237.50488281,629.4620435,188.62600708,2.06276345,22.69300079
Tue Aug 21 18:21:22 MESZ 2012,21-Aug-2012 18:20:27.671,6.963774242027382,50.34513375443432,23.593544,6.0,629.510348867816,232.2899,-0.1999317,1.0491786,-0.102314025,0.05900571,28,10.1960783,210.19999528,130.99999738,1639,4.9000001,0,0,0,16.5,0,947.29998779,212,17,232.28990173,629.51034887,189.34500122,2.06985545,22.69300079
Tue Aug 21 18:21:23 MESZ 2012,21-Aug-2012 18:20:28.669,6.9637192526605425,50.34508974712581,21.195606,6.0,629.7672466112037,217.71222,-0.035173167,0.967725,-0.099074386,-0.01925454,28,10.1960783,210.19999528,130.99999738,1639,4.9000001,0,0,0,16.5,0,947.23999023,213,17,217.71221924,629.76724661,190.63999939,2.07612324,22.69300079
Tue Aug 21 18:21:24 MESZ 2012,21-Aug-2012 18:20:29.670,6.9636917503331075,50.34504996092305,16.182299,6.0,629.8563448295697,202.79613,0.37764877,1.004518,-0.20343688,0.09781023,20,11.37254906,211.99999523,130.99999738,1194,4.13000011,0,0,0,16.5,0,947.19995117,214,17,202.79612732,629.85634483,191.58599854,2.08096242,22.69300079
Tue Aug 21 18:21:25 MESZ 2012,21-Aug-2012 18:20:30.671,6.963655007114973,50.34501867998036,14.839655,6.0,629.8638449021979,219.08531,0.26379877,1.0144682,-0.2906756,0.06241017,20,11.37254906,211.99999523,132.79999733,1194,4.13000011,0,0,0,16.5,0,947.22998047,215,17,219.08531189,629.8638449,192.53399658,2.08531523,22.69300079
Tue Aug 21 18:21:26 MESZ 2012,21-Aug-2012 18:20:31.669,6.963602174242221,50.34500768263876,14.108927,8.0,629.8826763644319,252.79404,-0.2575509,1.0912938,-0.33255947,0.20050223,14,20.7843132,211.99999523,132.79999733,1764,3.22000003,0,0,0,16.5,0,947.14996338,216,17,252.79403687,629.88267636,193.477005,2.08926988,22.69300079
Tue Aug 21 18:21:27 MESZ 2012,21-Aug-2012 18:20:32.670,6.963540122690056,50.34499396041035,16.865847,8.0,630.2716607894598,253.5141,-0.52482074,0.8168506,-0.37027803,0.08108836,14,20.7843132,211.99999523,132.79999733,1764,65.09999847,0,0,0,15,0,947.09997559,217,17,253.51409912,630.27166079,194.62600708,2.09394312,22.69300079
